executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 181ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 1ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,150.47,8,1,1,Fri Aug 20 2021 20:16:23 GMT-0300 (Brasilia Standard Time); duration: 6ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,97,150.47,8,Fri Aug 20 2021 20:16:23 GMT-0300 (Brasilia Standard Time); duration: 3ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 99,1,13,Courier,1,150.47,0,0,150.47; duration: 9ms, rows: error }
executed query: { query: ROLLBACK, params: undefined; duration: 1ms, rows: null }
executed query: { query: SELECT name, id, daystopay from payment_method, params: undefined; duration: 170ms, rows: 13 }
executed query: { query: BEGIN TRANSACTION, params: undefined; duration: 1ms, rows: null }
executed query: { query: INSERT INTO sale_header(user_id, total, payment_method_id, creation_user, update_user, deadline) VALUES ($1, $2, $3, $4, $5, $6) RETURNING *, params: 1,150.47,8,1,1,Fri Aug 20 2021 20:17:06 GMT-0300 (Brasilia Standard Time); duration: 5ms, rows: 1 }
executed query: { query: INSERT INTO bills_receive(user_id, sale_header_id, amount, method_id, deadline) VALUES($1, $2, $3, $4, $5) RETURNING *, params: 1,98,150.47,8,Fri Aug 20 2021 20:17:06 GMT-0300 (Brasilia Standard Time); duration: 2ms, rows: 1 }
executed query: { query: INSERT INTO sale_items (sale_header_id, line, product_id, delivery_method, sold_amount, unitary_value, discount_value, plus_value, total) VALUES ($1, $2, $3, $4, $5, $6, $7, $8, $9) RETURNING *, params: 98,1,13,Courier,1,150.47,0,0,150.47; duration: 2ms, rows: 1 }
executed query: { query: COMMIT, params: undefined; duration: 2ms, rows: null }
executed query: { query: SELECT id from products WHERE id = $1 and deleted_at IS NULL, params: 13; duration: 182ms, rows: 1 }
